Sample Name,MO (g dm3),P (mg dm3),K (cmol dm3),Cu (mg dm3),Fe (mgdm3),Zn (mgdm3),Mn (mgdm3),pH (CaCl2),Al (cmol dm3),Ca (cmol dm3),Mg (cmol dm3)
Amostra 163  ,"21,44","34,07","0,53","11,00","29,98","17,27","152,17","6,10","0,00","8,00","6,10"
Amostra 164  ,"20,10","14,48","0,68","11,80","36,53","14,95","203,57","5,60","0,00","5,80","2,40"
Amostra 165  ,"25,46","149,46","0,93","6,70","9,72","56,77","231,66","6,30","0,00","10,60","6,10"
Amostra 166,"24,12","35,01","1,20","7,55","38,73","25,34","145,49","6,20","0,00","5,70","3,70"
Amostra 167,"33,51","34,07","0,83","7,28","38,44","16,20","122,31","5,90","0,00","7,20","4,30"
Amostra 168  ,"18,76","12,52","0,83","8,50","32,13","15,12","86,52","5,60","0,00","4,50","3,60"
Amostra 169  ,"18,76","15,00","0,20","0,00","0,00","0,00","0,00","5,20","0,00","4,30","2,30"
Amostra 170  ,"26,80","7,24","0,23","0,00","0,00","0,00","0,00","5,10","0,00","5,00","1,10"
Amostra 173  ,"36,19","8,48","0,35","0,00","0,00","0,00","0,00","4,80","0,12","6,10","2,10"
Amostra 175  ,"67,01","6,44","0,13","2,28","45,17","2,12","17,36","5,60","0,00","8,60","3,00"
Amostra 176  ,"57,63","6,05","0,18","1,68","51,16","1,11","13,56","5,70","0,00","8,60","2,80"
Amostra 177  ,"67,01","6,05","0,33","1,92","55,24","3,04","41,52","5,50","0,00","7,90","3,40"
Amostra 53  ,"6,70","0,32","0,18","0,00","0,00","0,00","0,00","4,60","0,25","1,00","0,40"
Amostra 54  ,"1,34","0,32","0,08","0,00","0,00","0,00","0,00","4,60","0,13","0,60","0,20"
Amostra 55  ,"16,08","9,19","1,02","0,00","0,00","0,00","0,00","5,40","0,00","7,10","1,40"
Amostra 56  ,"36,19","5,19","0,50","0,00","0,00","0,00","0,00","5,00","0,00","8,30","2,30"
Amostra 57  ,"44,23","4,82","0,18","0,00","0,00","0,00","0,00","5,00","0,00","10,80","1,60"
Amostra 58  ,"40,21","38,45","0,40","0,00","0,00","0,00","0,00","4,70","0,46","26,00","4,60"
Amostra 59  ,"49,59","19,09","0,48","0,00","0,00","0,00","0,00","4,80","0,32","30,90","4,30"
Amostra 60  ,"13,40","2,66","0,17","0,00","0,00","0,00","0,00","4,40","0,55","4,50","1,90"
Amostra 61  ,"32,17","9,62","0,37","0,00","0,00","0,00","0,00","5,20","0,00","9,10","2,40"
Amostra 62  ,"38,87","3,01","0,49","0,00","0,00","0,00","0,00","4,70","0,22","5,30","1,40"
Amostra 63  ,"30,83","3,36","0,32","0,00","0,00","0,00","0,00","4,90","0,16","6,00","1,80"
Amostra 64  ,"103,20","147,06","2,61","0,00","0,00","0,00","0,00","7,10","0,00","14,90","14,90"
Amostra 65  ,"57,63","124,93","0,88","0,00","0,00","0,00","0,00","6,60","0,00","18,40","2,40"
Amostra 66  ,"79,07","95,66","1,13","0,00","0,00","0,00","0,00","7,00","0,00","17,40","22,03"
Amostra 67  ,"18,76","4,45","0,98","0,00","0,00","0,00","0,00","6,80","0,00","3,40","1,10"
Amostra 68  ,"16,08","0,97","0,95","0,00","0,00","0,00","0,00","6,60","0,00","2,30","0,70"
Amostra 69  ,"14,74","1,98","0,98","0,00","0,00","0,00","0,00","6,70","0,00","3,30","1,00"
Amostra 70  ,"13,40","1,98","0,95","0,00","0,00","0,00","0,00","6,80","0,00","3,20","0,90"
Amostra 71  ,"17,42","2,66","1,05","0,00","0,00","0,00","0,00","6,90","0,00","3,60","1,00"
Amostra 72  ,"37,53","40,65","0,27","0,00","0,00","0,00","0,00","6,00","0,00","8,20","2,00"
Amostra 73  ,"57,63","1,64","0,32","0,00","0,00","0,00","0,00","3,90","1,51","1,00","0,40"
Amostra 74  ,"53,61","111,98","19,80","0,00","0,00","0,00","0,00","5,70","0,00","10,80","3,30"
Amostra 75  ,"45,57","124,93","15,95","0,00","0,00","0,00","0,00","5,90","0,00","16,60","4,10"
Amostra 76  ,"56,29","124,93","14,30","0,00","0,00","0,00","0,00","5,80","0,00","11,30","3,50"
Amostra 77  ,"52,27","124,93","22,00","0,00","0,00","0,00","0,00","5,80","0,00","18,90","4,30"
Amostra 78  ,"44,23","124,93","16,50","0,00","0,00","0,00","0,00","5,80","0,00","9,30","3,10"
Amostra 79  ,"60,31","2,32","0,30","0,00","0,00","0,00","0,00","4,40","0,39","4,20","1,70"
Amostra 80  ,"26,80","2,66","0,10","0,00","0,00","0,00","0,00","3,70","2,41","0,60","0,30"
Amostra 81  ,"52,27","6,73","0,50","0,00","0,00","0,00","0,00","5,00","0,00","6,20","2,10"
Amostra 82  ,"38,87","0,65","0,13","0,00","0,00","0,00","0,00","4,20","0,41","3,60","1,70"
Amostra 83  ,"58,97","15,78","0,35","0,00","0,00","0,00","0,00","4,40","0,41","4,40","1,70"
Amostra 84  ,"80,41","3,36","0,28","0,00","0,00","0,00","0,00","4,40","0,26","6,00","1,60"
Amostra 85  ,"67,01","2,32","0,55","0,00","0,00","0,00","0,00","4,40","0,22","6,20","1,40"
Amostra 86  ,"48,25","149,46","0,29","0,00","0,00","0,00","0,00","7,00","0,00","11,80","2,60"
Amostra 87  ,"37,53","8,48","0,50","0,00","0,00","0,00","0,00","4,70","0,11","6,00","1,20"
Amostra 88  ,"28,14","2,01","0,26","0,00","0,00","0,00","0,00","4,50","0,10","4,70","1,00"
Amostra 89  ,"42,89","8,06","0,63","0,00","0,00","0,00","0,00","4,60","0,09","5,90","1,30"
Amostra 90  ,"30,83","1,66","0,43","0,00","0,00","0,00","0,00","4,60","0,10","4,40","0,90"
Amostra 91  ,"45,57","12,52","0,55","0,00","0,00","0,00","0,00","4,70","0,08","7,80","1,40"
Amostra 92  ,"25,46","1,66","0,41","0,00","0,00","0,00","0,00","4,70","0,10","6,90","1,60"
Amostra 93  ,"32,17","7,65","0,41","0,00","0,00","0,00","0,00","5,00","0,00","11,50","1,40"
